Region,Country,Year,Reference date,Reference,URL,NATLEX ISN,General remarks
Europe,North Macedonia,2017,2015-01-01,"Labour Relations Act [LRA], 2005 (Official Gazette of the Republic of Macedonia No. 62/2005), last amended in 2015 with Law No 72/2015<br/>The link provided is in Macedonian, consolidated version.",http://www.mtsp.gov.mk/content/pdf/zakoni/ZRO%20Precisten%2074-15.pdf,,
Europe,North Macedonia,2017,2007-07-04,"Law on peaceful resolution of labour law disputes, 4 July 2007 (Official Gazette of the Republic of Macedonia No. 87/2007) [in Macedonian only]",http://www.mtsp.gov.mk/WBStorage/Files/Zakon%20za%20mirno%20resavanje%20na%20rab.%20sporovi.pdf,,
Asia,Mongolia,2017,2017-04-21,"Labour Code, dated 14 May 1999, as last amended by the Law of 21 April 2017<br/>For an up to date Mongolian version with links to all amendments to the law up to now go to: http://legalinfo.mn/law/details/565",http://www.ilo.org/dyn/natlex/docs/SERIAL/57592/49012/F1417624175/MNG57592.pdf,57592.0,
Africa,Malawi,2019,2000-05-14,"Employment Act [EA], No. 6 of 2000",,58791.0,
Africa,Malawi,2019,2010-08-29,"Employment Amendment Act, No. 27 of 2010 (date of entry into force: 1st June 2011)",http://www.osall.org.za/docs/2011/03/Malawi-Employment-Amendment-Act-No-27-of-2010.pdf,,
Africa,Malawi,2019,1996-05-23,"Labour Relations Act [LRA], No. 16 of 1996",,44859.0,
Africa,Malawi,2019,2012-04-16,"Labour Relations (Amendment) Act, No. 1 of 2012",https://malawilii.org/mw/legislation/act/2012/1-0,,
Americas,Mexico,2019,2019-08-09,"The Mexican Constitution [MC] dated 5 February 1917, as last amended in August 2019<br/>(Constitución Política de los Estados Unidos Mexicanos - available in Spanish)",,39791.0,
Americas,Mexico,2019,2019-07-02,"The Federal Labour Act [FLA], dated 2 December 1969 as last amended in July 2019<br/>(Ley Federal del Trabajo - available  in Spanish)",http://www.diputados.gob.mx/LeyesBiblio/ref/lft.htm,42632.0,
Asia,Malaysia,2018,2012-04-30,"The Employment Act [EA], No. 265 of 1955,  as last amended by the  Employment (Amendment) Act 2012.",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/48055/99040/F1418369396/MYS48055%202012.pdf,48055.0,
Asia,Malaysia,2018,2012-01-30,"Employment (Amendment) Act 2012, Act A1419, adopted on 30 January 2012 and published on 9 February 2012.<br/>This Act entered into force on April 1st, 2012.",http://www.mkma.org/Notice%20Board/2012/EmploymentAmendedAct2012.pdf,89543.0,
Asia,Malaysia,2018,2011-01-26,"The Employment (Termination and Lay-off Benefits) Regulations 1980, as last amended by Employment (Termination and Lay-off  Benefits) (Amendment) 2011 of January 2011",https://www.social-protection.org/gimi/RessourcePDF.action;jsessionid=yvh4FMXCFUuLGtTD0e_xxRCZ9bQwmNm4lyMKacRlOha5rQBOGNiv!2015759462?id=40981,87336.0,
Asia,Malaysia,2018,2015-10-01,"The Industrial Relation Act [IRA], No. 177 of 1967, as last amended by Act A1488 of May 2015.",https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/48066/99440/F-291511780/MYS48066%202015.pdf,48066.0,
Africa,Mozambique,2019,2007-08-01,"Labour Act, n° 23/2007 (in Potuguese)",http://www.mitess.gov.mz/resource/education,,
Africa,Mozambique,2019,2018-08-30,Labour Tribunals Act - Law No 10/2018 (Review of Law No 18/1992),http://www.ts.gov.mz/images/pdf_files/Lei-da-Reviso-da-Lei-n.-18.-1992-de-14-de-Outubro-compactado.pdf,,
Africa,Mozambique,2019,2002-02-13,Act No 5/2002 - Protection of Workers with HIV against discrimination in the workplace,https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=61427,,
Africa,Mozambique,2019,2013-12-04,Decree 62/2013 - Regulation Establishing the Legal Regime for Accidents at Work and Occupational Diseases,http://www.ilo.org/dyn/legosh/en/f?p=LEGPOL:503:9032808478651:::503:P503_REFERENCE_ID:167710,,
Africa,Namibia,2019,2012-04-12,"Labour Amendment Act, 2012 (Act No. 2 of 2012)",https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=104154&p_count=4&p_classification=01.02,,
Africa,Namibia,2019,2007-12-21,"Labour Act [LA], No. 11 of 2007",,79050.0,
Africa,Niger,2019,2012-09-25,"Labour Code [LC], 25 Sep. 2012<br/>(Loi n° 2012-45 du 25 septembre 2012 portant Code du travail de la République du Niger - available in French)",,91382.0,
Africa,Niger,2019,2017-08-10,DECRET N° 2017-682/PRN/MET/PS du 10 août 2017 portant partie règlementaire du Code du Travail. <br/>Voir en particulier les articles 472 et s. portant sur le licenciement des représentants du personnel.,https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/105523/129048/F1791736746/NER-105523.pdf,91382.0,
Africa,Nigeria,2020,1990-01-01,"Labour Act [LA] of 1974 as amended, Chapter 198 Laws of the Federation of Nigeria 1990",http://www.nigeria-law.org/LabourAct.htm,42156.0,
Americas,Nicaragua,2019,2012-11-12,"Labour Procedure Code - Ley nº 815, Codigo Procesal del Trabajo y de la Seguridad Social.",https://www.poderjudicial.gob.ni/w2013/default.asp,,
Americas,Nicaragua,2019,1996-10-30,"Labour Code - Ley N° 185, Código de Trabajo de la República de Nicaragua, publicada en la Gaceta Diario Oficial N° 205, el 30 de octubre de 1996 (amendments by law No 671, La Gaceta, Diario Oficial No. 215 of 11 November 2008)",,45784.0,
Europe,Netherlands,2019,2017-07-01,"Civil  Code [CC], Book 7, title 10 1822, as subsequently amended and updated until July 1st, 2017<br/>(Book 7 Particular agreements,Title 7.10 Employment agreement)",http://wetten.overheid.nl/BWBR0005290/2017-07-01,,
Europe,Netherlands,2019,2015-07-01,Dismissal Regulations (DR),http://wetten.overheid.nl/BWBR0036599/2016-07-01,44451.0,
Europe,Netherlands,2019,2015-07-01,"Collective Redundancy Notification Act  [CRNA], 24 March 1976, as subsequently amended in July 2015<br/>(Wet melding collectief ontslag - available only in Dutch)",http://wetten.overheid.nl/BWBR0003026/2015-07-01,,
Europe,Netherlands,2019,2015-07-01,"Equal Treatment Act, 1994 as last amended in 2015<br/>(Algemene Wet Gelijke Behandeling)",http://wetten.overheid.nl/BWBR0006502/2015-07-01,,
Europe,Norway,2019,2018-12-20,"Act (No. 62 of 2005) relating to working environment, working hours and employment protection, etc. (Working Environment Act, hereafter [WEA]), as last amended by Acts 38 of 15 June 2018 (in force 20 July 2018) and nos. 46 of 22 June and 98 og 20 December 2018 (both in force per 1 January 2019)",https://www.arbeidstilsynet.no/globalassets/regelverkspdfer/working-environment-act,70972.0,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,2017-06-16,"Act (No. 51 of 2017) relating to equality and prohibition of discrimination (Equality and Anti-Discrimination Act) [as amended by Act 115 of 19 December 2017, in force per 1 January 2018]",,108186.0,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,,"Equality and Anti-Discrimination Ombud Act- No. 50 of 16 June 2017, as amended by Act No. 111 of 19 December 2017, in force 1 January 2018. [this Act accompanies the 2017 Equality and Non-Discrimination Act]",https://lovdata.no/dokument/NLE/lov/2017-06-16-50,,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,2015-10-01,"Labour Market Act (No. 76 of 2004), last amended by Act 98 of 20 December 2018 (in force 1 January 2019).[Lov om arbeidsmarkedstjenester (arbeidsmarkedsloven) - available in Norwegian only]",http://www.lovdata.no/all/hl-20041210-076.html,69898.0,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,2017-07-01,"Act No. 90 of 17 June 2005 relating to mediation and procedure in civil disputes (The Dispute Act / Tvisteloven), last amended by Act No. 80 of 22 June 2018, in force 1 January 2019.",https://lovdata.no/dokument/NLE/lov/2005-06-17-90?q=mediation,,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,2007-12-21,"Arbitration Act No. 25 of 14 May 2004, last amended by Act No. 127 of 21 December 2007, effective as of January 1st, 2008. [Lov om voldgift]",https://lovdata.no/dokument/NLE/lov/2004-05-14-25?q=arbitration,,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Europe,Norway,2019,2012-01-27,Act (No. 9 of 2012) on Labour Disputes.,,94280.0,The four previous distinct Discrimination Acts were superseded by the comprehensive Equality and Non-Discrimination Act No. 51 of 16 June 2017.
Asia,New Zealand,2019,2017-10-10,"Employment Relations Act 2000 [ERA], Act No. 24 of 2000, dated 19 August 2000, consolidated version as at 12 December 2018.",http://www.legislation.govt.nz/act/public/2000/0024/latest/whole.html#dlm59164,,
Asia,New Zealand,2019,2017-10-10,"Human Rights Act 1993, Act No. 82 of 1993, dated 10 August 1993, consolidated version as at 26 November 2018.",http://www.legislation.govt.nz/act/public/1993/0082/latest/DLM304212.html,,
Asia,New Zealand,2019,2017-10-10,"Parental Leave and Employment Protection Act 1987, Act No. 129 of 1987, dated 10 July 1987, consolidated version as at 1st July 2018.",http://www.legislation.govt.nz/act/public/1987/0129/latest/DLM120104.html?search=ts_act_parental+and+leave_noresel&p=1&sr=1,,
Americas,Panama,2019,2015-05-04,"Labour Code [LC], 30 December 1971 as last amended by Act No. 28 of May 2015 (Código del Trabajo) - available in Spanish<br/><br/>",http://www.legalinfo-panama.com/legislacion/laboral/codtrab_index.htm,42679.0,
